host,problem,function,dimension,instance,seed,action,baseline_best,first_f,best_h1,best_h10,best_h50,best_h200
cma,bbob_f004_i74_d10,4,10,74,1,pass,113.97990251096833,123.64055807119611,113.97990251096833,113.97990251096833,94.71703583834652,68.28864348594333
cma,bbob_f004_i74_d10,4,10,74,1,contract,113.97990251096833,146.37618186757703,113.97990251096833,113.97990251096833,90.78749679775954,52.24372596900578
cma,bbob_f004_i74_d10,4,10,74,1,reflect,113.97990251096833,140.36412477720688,113.97990251096833,113.97990251096833,113.97990251096833,52.45420061891322
de,bbob_f005_i73_d10,5,10,73,0,pass,1051.2712428207917,1103.4126055007243,1051.2712428207917,1051.2712428207917,1051.2712428207917,1034.65871273209
de,bbob_f005_i73_d10,5,10,73,0,contract,1051.2712428207917,1079.9489922947546,1051.2712428207917,1051.2712428207917,1051.2712428207917,1036.2652369783204
de,bbob_f005_i73_d10,5,10,73,0,reflect,1051.2712428207917,1157.8195275513672,1051.2712428207917,1051.2712428207917,1051.2712428207917,1033.4036373958374
pso,bbob_f005_i73_d10,5,10,73,0,pass,1003.8665085771149,1014.0835290396492,1003.8665085771149,1001.0103498815726,1000.0,1000.0
pso,bbob_f005_i73_d10,5,10,73,0,contract,1003.8665085771149,1009.4858698315088,1003.8665085771149,1001.0103498815726,1000.0,1000.0
pso,bbob_f005_i73_d10,5,10,73,0,reflect,1003.8665085771149,1034.6180323484673,1003.8665085771149,1001.0103498815726,1000.0,1000.0
cma,bbob_f005_i73_d10,5,10,73,0,pass,1033.6624476336826,1049.6116086306067,1033.6624476336826,1031.9993166751435,1028.8200019972094,1026.2574861273988
cma,bbob_f005_i73_d10,5,10,73,0,contract,1033.6624476336826,1042.434486181991,1033.6624476336826,1031.9993166751435,1031.9993166751435,1024.0362689963943
cma,bbob_f005_i73_d10,5,10,73,0,reflect,1033.6624476336826,1042.2910972134318,1033.6624476336826,1031.9993166751435,1028.3907351087303,1025.6214965161496
de,bbob_f005_i73_d10,5,10,73,1,pass,1066.5569182870724,1123.8454092748814,1066.5569182870724,1066.5569182870724,1066.5569182870724,1050.856248108018
de,bbob_f005_i73_d10,5,10,73,1,contract,1066.5569182870724,1098.0655883303673,1066.5569182870724,1066.5569182870724,1066.5569182870724,1051.1897518670337
de,bbob_f005_i73_d10,5,10,73,1,reflect,1066.5569182870724,1128.5236803019548,1066.5569182870724,1066.5569182870724,1066.5569182870724,1050.856248108018
pso,bbob_f005_i73_d10,5,10,73,1,pass,1000.0,1036.8361070880007,1000.0,1000.0,1000.0,1000.0
pso,bbob_f005_i73_d10,5,10,73,1,contract,1000.0,1020.2598588984004,1000.0,1000.0,1000.0,1000.0
pso,bbob_f005_i73_d10,5,10,73,1,reflect,1000.0,1090.3927902211976,1000.0,1000.0,1000.0,1000.0
cma,bbob_f005_i73_d10,5,10,73,1,pass,1029.6121624640953,1035.5184759231452,1029.6121624640953,1027.5537036382434,1024.425955631522,1018.722211791125
cma,bbob_f005_i73_d10,5,10,73,1,contract,1029.6121624640953,1032.9852214779335,1029.6121624640953,1027.5537036382434,1027.5537036382434,1022.2629512061891
cma,bbob_f005_i73_d10,5,10,73,1,reflect,1029.6121624640953,1031.8590124444904,1029.6121624640953,1027.5537036382434,1024.9254435687083,1022.268106595016
de,bbob_f005_i74_d10,5,10,74,0,pass,-114.69760373096857,-30.57056896883236,-114.69760373096857,-114.69760373096857,-114.69760373096857,-119.76757008892612
de,bbob_f005_i74_d10,5,10,74,0,contract,-114.69760373096857,-68.42773461179365,-114.69760373096857,-114.69760373096857,-114.69760373096857,-119.76757008892612
de,bbob_f005_i74_d10,5,10,74,0,reflect,-114.69760373096857,-57.31624419716053,-114.69760373096857,-114.69760373096857,-114.69760373096857,-119.76757008892612
pso,bbob_f005_i74_d10,5,10,74,0,pass,-178.32270060837183,-170.2017495075412,-178.32270060837183,-178.32270060837183,-183.02,-183.02
pso,bbob_f005_i74_d10,5,10,74,0,contract,-178.32270060837183,-173.856177502915,-178.32270060837183,-178.32270060837183,-183.02,-183.02
pso,bbob_f005_i74_d10,5,10,74,0,reflect,-178.32270060837183,-129.03650924087674,-178.32270060837183,-178.32270060837183,-183.02,-183.02
cma,bbob_f005_i74_d10,5,10,74,0,pass,-151.29271227228787,-133.74693637445483,-151.29271227228787,-153.3360292701481,-153.6333798844778,-164.43551438331366
cma,bbob_f005_i74_d10,5,10,74,0,contract,-151.29271227228787,-139.07857378844324,-151.29271227228787,-153.3360292701481,-153.3360292701481,-163.91695301372675
cma,bbob_f005_i74_d10,5,10,74,0,reflect,-151.29271227228787,-142.20641863879112,-151.29271227228787,-153.3360292701481,-153.3360292701481,-158.7547048811992
de,bbob_f005_i74_d10,5,10,74,1,pass,-104.35946098059543,-49.68919655034068,-104.35946098059543,-104.35946098059543,-104.35946098059543,-129.0369150353602
de,bbob_f005_i74_d10,5,10,74,1,contract,-104.35946098059543,-74.2908155439553,-104.35946098059543,-104.35946098059543,-104.35946098059543,-127.63424616114523
de,bbob_f005_i74_d10,5,10,74,1,reflect,-104.35946098059543,-1.5052425087708627,-104.35946098059543,-104.35946098059543,-104.35946098059543,-129.41156467868663
pso,bbob_f005_i74_d10,5,10,74,1,pass,-161.6592095646976,-154.13516734632572,-161.6592095646976,-162.12605441896474,-179.6616734178048,-183.02
pso,bbob_f005_i74_d10,5,10,74,1,contract,-161.6592095646976,-157.52098634459307,-161.6592095646976,-162.12605441896474,-179.6616734178048,-183.02
pso,bbob_f005_i74_d10,5,10,74,1,reflect,-161.6592095646976,-124.25544869846364,-161.6592095646976,-162.12605441896474,-179.6616734178048,-183.02
cma,bbob_f005_i74_d10,5,10,74,1,pass,-144.05743787139286,-135.7244236594132,-144.05743787139286,-144.05743787139286,-151.53892269332164,-159.04022985136675
cma,bbob_f005_i74_d10,5,10,74,1,contract,-144.05743787139286,-139.47428005480404,-144.05743787139286,-144.05743787139286,-148.08925925145246,-162.67828499799356
cma,bbob_f005_i74_d10,5,10,74,1,reflect,-144.05743787139286,-144.98988582516094,-144.98988582516094,-144.98988582516094,-152.23519758364682,-159.15421454276162
