problem,function,instance,dimension,seed,mode,popsize,baseline_best,pass_proposal_f,first_f,best_h1,best_h10,best_h50,best_h400,mean_shift_generation,sigma_ratio_generation,trace_ratio_generation,condition_ratio_generation,sigma_ratio_final,trace_ratio_final
bbob_f003_i79_d20,3,79,20,0,pass,12,326.43256050463435,411.63194556669407,411.63194556669407,326.43256050463435,309.4301456246966,309.4301456246966,271.5579417367089,0.6739734269976103,0.9403615114980652,0.9945620469960563,1.0020025756770872,0.5224804615063361,0.9492195983459979
bbob_f003_i79_d20,3,79,20,0,direct,12,326.43256050463435,,359.3555140282392,326.43256050463435,309.4301456246966,309.4301456246966,265.2520051507055,0.7302919287633619,0.9500062596632021,0.9946850939129138,1.0039719534401552,0.3997044885695994,0.925145226959763
bbob_f003_i79_d20,3,79,20,0,inject,12,326.43256050463435,,359.3555140282392,326.43256050463435,309.4301456246966,309.4301456246966,284.5541551558993,0.7302919287633619,0.9500062596632018,0.9947137565828309,1.0035013736804654,0.7137481098555128,0.9710854324044973
bbob_f003_i79_d20,3,79,20,1,pass,12,325.4094681306316,357.1906121322479,357.1906121322479,325.4094681306316,325.4094681306316,300.8361640376576,300.06478253118615,1.4864549331708683,0.9529530139674728,0.9940370489683851,0.9893999284092801,0.48759144095045526,0.9543712598118248
bbob_f003_i79_d20,3,79,20,1,direct,12,325.4094681306316,,391.0709970943724,325.4094681306316,325.4094681306316,325.4094681306316,257.87926791017037,1.5296951203059415,0.9548772838271885,0.9940162717831381,0.9900236971551089,0.4408064753685769,0.9407156806413008
bbob_f003_i79_d20,3,79,20,1,inject,12,325.4094681306316,,391.0709970943724,325.4094681306316,325.4094681306316,325.4094681306316,281.6632718198298,1.2476291552012828,0.9739785754268543,0.994489123931812,0.9909361718245947,0.44442277457122836,0.9491933067705328
bbob_f003_i79_d20,3,79,20,2,pass,12,328.2647759129603,443.233501850302,443.233501850302,328.2647759129603,328.2647759129603,328.2647759129603,278.187287603915,1.0577758922332745,0.9820705058372283,0.9962228919840085,1.0174575451287577,0.6779295526412228,0.959969112437302
bbob_f003_i79_d20,3,79,20,2,direct,12,328.2647759129603,,374.28476424792257,328.2647759129603,328.2647759129603,328.2647759129603,286.6640160390374,0.8412752405480273,0.9746655973952474,0.9962853406630046,1.0283059682455051,0.6235862427344173,0.9545695904777163
bbob_f003_i79_d20,3,79,20,2,inject,12,328.2647759129603,,374.28476424792257,328.2647759129603,328.2647759129603,328.2647759129603,286.86029637359024,0.8412752405480274,0.9746655973952474,0.995627991375657,1.013414640352854,0.3922912192639057,0.9436344561895336
bbob_f003_i79_d20,3,79,20,3,pass,12,304.8027661832742,414.88265029173203,414.88265029173203,304.8027661832742,304.8027661832742,304.8027661832742,261.2503203594391,1.751151846114198,0.9565068922408695,0.9959441425918556,1.000756657657738,0.43531138439185774,0.9256738933494892
bbob_f003_i79_d20,3,79,20,3,direct,12,304.8027661832742,,400.2256694792933,304.8027661832742,304.8027661832742,304.8027661832742,292.21409554897366,1.6605266907050609,0.9554089678180729,0.995149026318437,0.9993036957077772,0.3314473621240248,0.9187334927614658
bbob_f003_i79_d20,3,79,20,3,inject,12,304.8027661832742,,400.2256694792933,304.8027661832742,304.8027661832742,304.8027661832742,282.0836960140522,1.637935813869735,0.9513464740653869,0.9940124636715155,0.9933252847570451,0.37213265974168075,0.9186978854665395
bbob_f003_i80_d20,3,80,20,0,pass,12,262.2226526253819,331.8002481484938,331.8002481484938,262.2226526253819,262.2226526253819,233.1087419919637,186.65014562596426,0.9271520311589179,0.9520094364816797,0.9958055414931081,1.0099434070900468,0.5966006960197003,0.9461097167544805
bbob_f003_i80_d20,3,80,20,0,direct,12,262.2226526253819,,359.3412163448976,262.2226526253819,262.2226526253819,255.12923839865923,214.19266916042486,0.9271520311589179,0.9520094364816797,0.9957718789192128,1.0105221016954016,0.8360875901145716,0.9749567064471181
bbob_f003_i80_d20,3,80,20,0,inject,12,262.2226526253819,,359.3412163448976,262.2226526253819,262.2226526253819,261.5737862165374,195.6394257691189,0.9271520311589179,0.9520094364816797,0.99570242200459,1.0098817834500282,0.45317072169558403,0.9371762899388558
bbob_f003_i80_d20,3,80,20,1,pass,12,208.16640027478005,275.0392543660189,275.0392543660189,208.16640027478005,208.16640027478005,208.16640027478005,181.93982200346323,1.4039395294899812,0.9629083173390757,0.9961161180961995,1.0482188877100265,0.5272530852648942,0.946573796533607
